IBRA,lon,lat,sitetype,labcode,RCage,RCerr,RClo,RCup,occup,calc,material
Swan Coastal Plain,115.04,-30.27,midden,SUA-1661,3450,90,3360,3540,Y,0,marine shell (Turbo intercostalis)
Swan Coastal Plain,115.04,-30.27,midden,SUA-1660,6290,100,6190,6390,Y,0,marine shell (Nucella orbita)
Swan Coastal Plain,115.77,-32.02,open site,SUA-454,9930,130,9800,10060,U,0,charcoal
Swan Coastal Plain,115.51,-31.36,midden,SUA-1853,5220,80,5140,5300,Y,0,marine shell (Patella laticostata)
Swan Coastal Plain,115.76,-32.01,,SUA-434,9930,130,9800,10060,U,0,charcoal
Swan Coastal Plain,115.75,-31.67,rockshelter,ANU-622,1730,85,1645,1815,Y,0,scattered charcoal
Swan Coastal Plain,115.75,-31.67,rockshelter,ANU-623,3310,150,3160,3460,Y,0,scattered charcoal
Swan Coastal Plain,115.75,-31.67,rockshelter,ANU-624,3820,100,3720,3920,Y,0,scattered charcoal
Swan Coastal Plain,115.04,-30.27,midden,SUA-1472,5330,90,5240,5420,Y,0,marine shell (Turbo intercostalis)
Swan Coastal Plain,115.04,-30.27,midden,SUA-1629,1390,80,1310,1470,U,0,marine shell (Turbo intercostalis)
Swan Coastal Plain,115.04,-30.27,midden,SUA-1667,4860,90,4770,4950,U,0,marine shell (Turbo intercostalis)
Swan Coastal Plain,115.96,-31.89,open site,SUA-1704,35100,1400,33800,36600,Y,1,carbonised nodule
Swan Coastal Plain,115.96,-31.89,open site,SUA-1665,37100,1450,35800,38700,Y,1,carbonised nodule
Swan Coastal Plain,115.96,-31.89,open site,SUA-1500,39500,2050,37700,41800,Y,1,scattered charcoal
Swan Coastal Plain,116.06,-31.74,open site,SUA-632,1330,100,1230,1430,Y,0,charcoal
Swan Coastal Plain,116.06,-31.74,open site,SUA-508,3220,100,3120,3320,Y,0,charcoal
Swan Coastal Plain,116.06,-31.74,open site,SUA-633,4560,150,4410,4710,Y,0,charcoal
Swan Coastal Plain,116.06,-31.74,open site,SUA-509,6135,160,5975,6295,Y,0,charcoal
Swan Coastal Plain,116.06,-31.74,open site,SUA-510,8000,260,7740,8260,Y,0,charcoal
Sydney Basin,150.88,-33.72,open site,SUA-2413,3450,60,3390,3510,Y,0,charcoal
Sydney Basin,150.84,-35.01,rockshelter with midden deposits,ANU-6447,270,70,200,340,Y,0,charcoal
Sydney Basin,150.84,-35.01,rockshelter with midden deposits,ANU-6448,330,70,260,400,Y,0,charcoal
Sydney Basin,150.84,-35.01,rockshelter with midden deposits,ANU-6449,750,100,650,850,Y,0,charcoal
Sydney Basin,150.84,-35.01,rockshelter with midden deposits,ANU-6446,1630,70,1560,1700,Y,0,charcoal
Sydney Basin,150.24,-35.24,open site,ANU-8767,850,160,690,1010,U,0,charcoal from hearth
Sydney Basin,150.24,-35.24,open site,ANU-8769,2560,90,2470,2650,U,0,scattered charcoal
Sydney Basin,150.24,-35.24,open site,ANU-9380,3740,110,3630,3850,U,0,charcoal
Sydney Basin,150.24,-35.24,open site,ANU-8768,4050,210,3840,4260,U,0,scattered charcoal
Sydney Basin,151.32,-33.64,rockshelter,ANU-6583,1150,100,1050,1250,U,0,charcoal
Sydney Basin,151.32,-33.64,rockshelter,ANU-6923,1750,90,1660,1840,U,0,charcoal
Sydney Basin,151.32,-33.64,rockshelter,ANU-6585,1890,130,1760,2020,U,0,charcoal
Sydney Basin,151.32,-33.64,rockshelter,ANU-6584,2000,150,1850,2150,U,0,charcoal
Sydney Basin,151.07,-32.66,open site,Beta-62207,3120,70,3050,3190,Y,0,charcoal from hearth
Sydney Basin,151.07,-32.66,open site,Beta-62206,1730,50,1680,1780,Y,0,charcoal from hearth
Sydney Basin,151.07,-32.66,open site,Beta-62208,2060,50,2010,2110,U,0,charcoal
Sydney Basin,151.07,-32.66,open site,Beta-62209,2620,60,2560,2680,U,0,charcoal
Sydney Basin,151.25,-33.83,rockshelter,Wk-3051,1810,80,1730,1890,Y,0,charcoal
Sydney Basin,151.25,-33.83,rockshelter,Beta-55984,2570,70,2500,2640,Y,0,marine shell
Sydney Basin,151.25,-33.83,rockshelter,Wk-3050,2760,60,2700,2820,Y,0,marine shell
Sydney Basin,151.25,-33.83,rockshelter,Wk-4600,2800,90,2710,2890,U,0,charcoal
Sydney Basin,151.25,-33.83,rockshelter,Beta-60308,2960,60,2900,3020,U,0,charcoal
Sydney Basin,151.25,-33.83,rockshelter,Beta-60309,3070,70,3000,3140,U,0,charcoal
Sydney Basin,151.25,-33.83,rockshelter,Beta-56286,3080,90,2990,3170,Y,0,charcoal
Sydney Basin,151.25,-33.83,rockshelter,Beta-63203,3120,60,3060,3180,Y,0,marine shell
Sydney Basin,151.25,-33.83,rockshelter,Wk-4599,3280,65,3215,3345,U,0,charcoal
Sydney Basin,151.25,-33.83,rockshelter,Beta-63204,3310,50,3260,3360,Y,0,charcoal
Sydney Basin,151.25,-33.83,rockshelter,Beta-57824,3520,90,3430,3610,Y,0,charcoal
Sydney Basin,151.25,-33.83,rockshelter,Beta-60307,3530,150,3380,3680,U,0,charcoal
Sydney Basin,151.25,-33.83,rockshelter,Beta-58864,3780,140,3640,3920,Y,0,charcoal
Sydney Basin,151.23,-33.78,rockshelter,SUA-593,4520,100,4420,4620,U,0,marine shell (oyster)
Sydney Basin,151,-34.02,rockshelter,SUA-1746,1630,90,1540,1720,Y,0,charcoal
Sydney Basin,150.9,-34.6,midden,SUA-47,320,75,245,395,Y,0,charcoal
Sydney Basin,150.9,-34.6,midden,ANU-534,570,75,495,645,Y,0,charcoal
Sydney Basin,150.9,-34.6,midden,SUA-45/S4,665,70,595,735,Y,0,marine shell
Sydney Basin,150.9,-34.6,midden,SUA-45/S2,680,65,615,745,Y,0,marine shell
Sydney Basin,150.9,-34.6,midden,SUA-45/S3,695,65,630,760,Y,0,marine shell
Sydney Basin,150.9,-34.6,midden,SUA-45/S1,725,65,660,790,Y,0,marine shell
Sydney Basin,150.9,-34.6,midden,Not given,740,83,657,823,U,0,charcoal
Sydney Basin,150.9,-34.6,midden,SUA-51,900,115,785,1015,Y,0,charcoal
Sydney Basin,150.9,-34.6,midden,SUA-144,930,90,840,1020,Y,0,charcoal
Sydney Basin,150.9,-34.6,midden,SUA-146,985,100,885,1085,Y,0,charcoal
Sydney Basin,150.9,-34.6,midden,SUA-145/S1,1100,65,1035,1165,Y,0,marine shell
Sydney Basin,150.9,-34.6,midden,SUA-145/S6,1190,75,1115,1265,Y,0,marine shell
Sydney Basin,150.9,-34.6,midden,SUA-145/S2,1250,65,1185,1315,Y,0,marine shell
Sydney Basin,150.9,-34.6,midden,SUA-145/S4,1270,65,1205,1335,Y,0,marine shell
Sydney Basin,150.9,-34.6,midden,SUA-145/S3C,1285,65,1220,1350,Y,0,marine shell
Sydney Basin,150.9,-34.6,midden,SUA-145/S3A,1290,65,1225,1355,Y,0,marine shell
Sydney Basin,150.9,-34.6,midden,SUA-145/S3B,1290,65,1225,1355,Y,0,marine shell
Sydney Basin,150.9,-34.6,midden,SUA-25,2650,70,2580,2720,Y,0,charcoal
Sydney Basin,150.9,-34.6,midden,SUA-24/S1B,2870,80,2790,2950,Y,0,marine shell
Sydney Basin,150.9,-34.6,midden,ANU-535,2975,145,2830,3120,Y,0,charcoal
Sydney Basin,150.9,-34.6,midden,NSW-68,9050,500,8550,9550,Y,0,charcoal
Sydney Basin,150.9,-34.6,midden,ANU-536,17010,650,16360,17660,Y,0,charcoal
Sydney Basin,151.57,-33.28,midden,SUA-1189,670,80,590,750,U,0,marine shell
Sydney Basin,150.53,-35.25,burial,ANU-8154B,650,80,570,730,Y,0,charcoal
Sydney Basin,151.19,-33.84,midden,OFZ-238,1295,35,1260,1330,Y,0,marine shell (Pyrazus ebeninus)
Sydney Basin,151.19,-33.84,midden,OFZ-237,1300,35,1265,1335,Y,0,marine shell (Pyrazus ebeninus)
Sydney Basin,151.2,-34.04,midden,SUA-3010,830,210,620,1040,Y,0,charcoal
Sydney Basin,151.2,-34.04,midden,SUA-3012,1400,110,1290,1510,Y,0,charcoal
Sydney Basin,151.2,-34.04,midden,SUA-3009,2010,150,1860,2160,Y,0,charcoal
Sydney Basin,151.2,-34.04,midden,NZA-2323,2402,88,2314,2490,Y,0,charcoal
Sydney Basin,151.05,-34.01,rockshelter,Beta-5787,2340,100,2240,2440,Y,0,charcoal
Sydney Basin,151.13,-33.19,rockshelter,SUA-932,3040,85,2955,3125,Y,0,charcoal
Sydney Basin,151.12,-34.02,midden,ANU-896,470,60,410,530,Y,0,charcoal
Sydney Basin,151.12,-34.02,midden,ANU-895,1950,100,1850,2050,Y,0,charcoal
Sydney Basin,151.15,-33.2,rockshelter,Beta-81625,2370,60,2310,2430,U,0,charcoal
Sydney Basin,149.72,-32.29,rockshelter,ANU-123,730,70,660,800,Y,0,charcoal
Sydney Basin,149.72,-32.29,rockshelter,ANU-790,4120,175,3945,4295,Y,0,charcoal
Sydney Basin,149.72,-32.29,rockshelter,ANU-287,5150,170,4980,5320,Y,0,charcoal
Sydney Basin,149.72,-32.29,rockshelter,ANU-124,7750,120,7630,7870,U,0,charcoal
Sydney Basin,150.2,-35.11,rockshelter,ANU-8979,900,60,840,960,Y,0,charcoal from hearth
Sydney Basin,150.2,-35.11,rockshelter,ANU-8428,1780,70,1710,1850,Y,0,scattered charcoal
Sydney Basin,150.2,-35.11,rockshelter,ANU-8980,1860,180,1680,2040,N,0,scattered charcoal
Sydney Basin,150.2,-35.11,rockshelter,ANU-8427,2250,70,2180,2320,Y,0,charcoal from hearth
Sydney Basin,150.2,-35.11,rockshelter,ANU-8429,2860,100,2760,2960,Y,0,charcoal from hearth
Sydney Basin,150.2,-35.11,rockshelter,ANU-8973,5980,390,5590,6370,U,0,charcoal
Sydney Basin,150.2,-35.11,rockshelter,ANU-8313,10850,300,10550,11150,Y,0,scattered charcoal
Sydney Basin,150.59,-34.86,rockshelter,ANU-1020,1410,60,1350,1470,Y,0,charcoal
Sydney Basin,150.59,-34.86,rockshelter,ANU-1021,1930,60,1870,1990,Y,0,charcoal
Sydney Basin,151.13,-33.16,rockshelter,SUA-2169,1880,60,1820,1940,U,0,charcoal
Sydney Basin,151.12,-34.02,midden,SUA-2857,1520,90,1430,1610,Y,0,charcoal
Sydney Basin,149.85,-32.53,rockshelter,ANU-1572,270,80,190,350,Y,0,charcoal
Sydney Basin,150.77,-35.11,midden,ANU-2344,550,180,370,730,Y,0,charcoal
Sydney Basin,150.77,-35.12,midden,ANU-2345,1180,260,920,1440,Y,0,charcoal
Sydney Basin,151.12,-33.19,rockshelter,SUA-1123,2890,80,2810,2970,U,0,charcoal
Sydney Basin,150.2,-35.11,rockshelter,ANU-9374,1480,70,1410,1550,U,0,charcoal
Sydney Basin,150.2,-35.11,rockshelter,ANU-8312,3150,60,3090,3210,Y,0,charcoal from hearth
Sydney Basin,150.2,-35.11,rockshelter,ANU-8432,3260,170,3090,3430,Y,0,charcoal from hearth
Sydney Basin,150.2,-35.11,rockshelter,ANU-8433B,12040,630,11410,12670,Y,0,scattered charcoal
Sydney Basin,150.2,-35.11,rockshelter,ANU-9375,18810,160,18650,18970,U,0,charcoal
Sydney Basin,150.87,-34.07,rockshelter,Not given,1050,80,970,1130,Y,0,charcoal
Sydney Basin,150.87,-34.07,rockshelter,SUA-2106,1820,90,1730,1910,Y,0,charcoal
Sydney Basin,150.42,-35.37,rockshelter,ANU-139,1660,70,1590,1730,Y,0,scattered charcoal
Sydney Basin,150.42,-35.37,rockshelter,ANU-63,4650,100,4550,4750,U,0,charcoal
Sydney Basin,150.42,-35.37,rockshelter,ANU-648,4680,100,4580,4780,U,0,charcoal
Sydney Basin,150.42,-35.37,rockshelter,ANU-335,5320,150,5170,5470,U,0,charcoal
Sydney Basin,150.42,-35.37,rockshelter,ANU-336,12450,160,12290,12610,U,0,charcoal
Sydney Basin,150.42,-35.37,rockshelter,ANU-137,20760,800,19960,21560,Y,0,scattered charcoal
Sydney Basin,150.42,-35.37,rockshelter,ANU-138,20830,810,20020,21640,Y,0,scattered charcoal
Sydney Basin,150.42,-35.37,rockshelter with midden deposits,ANU-8421,360,60,300,420,Y,0,charcoal from hearth
Sydney Basin,150.42,-35.37,rockshelter with midden deposits,ANU-8422,3280,70,3210,3350,Y,0,charcoal from hearth
Sydney Basin,151.22,-33.82,rockshelter,Wk-3221,1860,45,1815,1905,,0,marine shell
Sydney Basin,151.22,-33.82,rockshelter,Wk-3052,2230,90,2140,2320,Y,0,charcoal
Sydney Basin,151.22,-33.82,rockshelter,Wk-3220,2440,50,2390,2490,,0,marine shell
Sydney Basin,151.22,-33.82,rockshelter,Wk-3219,5840,50,5790,5890,U,0,marine shell
Sydney Basin,151.22,-34.01,midden,ANU-722,360,110,250,470,,0,charcoal
Sydney Basin,151.22,-34.01,midden,ANU-721,1330,100,1230,1430,,0,charcoal
Sydney Basin,151.14,-33.13,rockshelter,SUA-2173,1430,60,1370,1490,U,0,charcoal
Sydney Basin,151.21,-33.78,midden,OZC-899,560,45,515,605,Y,0,marine shell
Sydney Basin,151.21,-33.78,midden,Beta-117985,1370,60,1310,1430,Y,0,marine shell
Sydney Basin,151.21,-33.78,midden,OZC-900,1650,40,1610,1690,Y,0,marine shell
Sydney Basin,151.21,-33.78,midden,OZC-901,1650,40,1610,1690,Y,0,marine shell
Sydney Basin,150.55,-35.18,midden,SUA-260C,390,70,320,460,U,0,marine shell
Sydney Basin,150.55,-35.18,midden,SUA-261,550,90,460,640,U,0,charcoal
Sydney Basin,150.55,-35.18,midden,SUA-260/S2,720,60,660,780,U,0,marine shell
Sydney Basin,150.55,-35.18,midden,SUA-260/S1,800,60,740,860,U,0,marine shell
Sydney Basin,150.55,-35.18,midden,SUA-262C,910,60,850,970,Y,0,charcoal
Sydney Basin,150.55,-35.18,midden,SUA-261/S1,970,75,895,1045,U,0,marine shell
Sydney Basin,150.55,-35.18,midden,SUA-261/S2,970,75,895,1045,U,0,marine shell
Sydney Basin,150.55,-35.18,midden,SUA-262,1030,100,930,1130,U,0,charcoal
Sydney Basin,150.55,-35.18,midden,SUA-262/S3,1125,80,1045,1205,U,0,marine shell
Sydney Basin,150.55,-35.18,midden,SUA-262/S4,1265,70,1195,1335,U,0,marine shell
Sydney Basin,150.55,-35.18,midden,SUA-262/S2,1275,80,1195,1355,U,0,marine shell
Sydney Basin,150.55,-35.18,midden,SUA-262/S1,1285,70,1215,1355,U,0,marine shell
Sydney Basin,150.93,-33.69,hearth,Wk-4533,700,50,650,750,Y,0,charcoal
Sydney Basin,150.93,-33.69,hearth,Wk-4534,370,60,310,430,Y,0,charcoal
Sydney Basin,150.93,-33.69,hearth,Wk-4535,1030,50,980,1080,Y,0,charcoal
Sydney Basin,150.93,-33.69,hearth,Wk-4536,330,50,280,380,Y,0,charcoal
Sydney Basin,150.93,-33.69,hearth,Wk-4537,740,50,690,790,Y,0,charcoal
Sydney Basin,151.03,-33.72,rockshelter,Beta-11896,2200,60,2140,2260,Y,0,charcoal
Sydney Basin,149.95,-32.49,open site,Beta-137093,930,40,890,970,Y,0,charcoal
Sydney Basin,150.67,-33.73,open,Beta-5435,30200,1280,28920,31480,N,0,charcoal
Sydney Basin,150.67,-33.73,open,Beta-6511,37010,1040,35970,38050,N,0,wood
Sydney Basin,150.67,-33.73,open,ANU-3418,37100,1600,35500,38700,N,0,wood
Sydney Basin,150.67,-33.73,open,ANU-4015,37750,1375,36500,39250,N,1,charcoal
Sydney Basin,150.67,-33.73,open,ANU-3908,40200,2100,38100,42300,N,0,wood
Sydney Basin,150.67,-33.73,open,ANU-4017,40500,1925,38800,42650,N,1,wood
Sydney Basin,150.67,-33.73,open,ANU-4016,41700,2600,39500,44700,N,1,wood
Sydney Basin,151.16,-34.03,midden,Wk-8844,2880,60,2820,2940,Y,0,marine shell
Sydney Basin,151.16,-34.03,midden,Wk-8845,3240,70,3170,3310,Y,0,charcoal
Sydney Basin,151.21,-33.76,midden,Beta-47633,890,60,830,950,Y,0,marine shell (Saccostrea cucullata)
Sydney Basin,151.11,-34.15,rockshelter,GaK-894,1430,90,1340,1520,Y,0,charcoal
Sydney Basin,151.11,-34.15,rockshelter,GaK-481,1580,130,1450,1710,Y,0,scattered charcoal
Sydney Basin,151.11,-34.15,hearth within rockshelter,GaK-896,2110,90,2020,2200,Y,0,charcoal
Sydney Basin,151.11,-34.15,rockshelter,I-1135,2150,180,1970,2330,Y,0,wood charcoal
Sydney Basin,151.11,-34.15,rockshelter,GaK-895,2230,80,2150,2310,Y,0,charcoal
Sydney Basin,151.11,-34.15,rockshelter,GaK-688,2360,90,2270,2450,Y,0,wood charcoal
Sydney Basin,151.11,-34.15,rockshelter,GaK-393b,2500,400,2100,2900,Y,0,charcoal
Sydney Basin,151.11,-34.15,rockshelter,GaK-394b,3000,120,2880,3120,U,0,scattered charcoal
Sydney Basin,151.11,-34.15,rockshelter,GaK-394a,3880,150,3730,4030,Y,0,charcoal
Sydney Basin,151.11,-34.15,rockshelter,GaK-482,7450,180,7270,7630,U,0,wood charcoal
Sydney Basin,151.11,-34.15,rockshelter,GaK-898,1930,80,1850,2010,Y,0,charcoal
Sydney Basin,151.11,-34.15,rockshelter,ANU-179,1050,100,950,1150,,0,charcoal
Sydney Basin,150.82,-35.01,rockshelter with midden deposits,NSW-98,1050,100,950,1150,U,0,charcoal
Sydney Basin,150.82,-35.01,rockshelter with midden deposits,NSW-75,1410,100,1310,1510,U,0,charcoal
Sydney Basin,150.82,-35.01,rockshelter with midden deposits,NSW-99,1530,100,1430,1630,U,0,charcoal
Sydney Basin,150.82,-35.01,rockshelter with midden deposits,NSW-94,1680,100,1580,1780,U,0,charcoal
Sydney Basin,150.82,-35.01,rockshelter with midden deposits,NSW-74,1900,100,1800,2000,U,0,charcoal
Sydney Basin,150.82,-35.01,rockshelter with midden deposits,ANU-243,1970,80,1890,2050,U,0,charcoal
Sydney Basin,150.82,-35.01,rockshelter with midden deposits,NSW-96,1990,100,1890,2090,U,0,charcoal
Sydney Basin,150.82,-35.01,rockshelter with midden deposits,NSW-97,2650,100,2550,2750,U,0,charcoal
Sydney Basin,150.82,-35.01,rockshelter with midden deposits,NSW-70,3790,100,3690,3890,U,0,charcoal
Sydney Basin,150.82,-35.01,rockshelter with midden deposits,NSW-77,870,250,620,1120,U,0,charcoal
Sydney Basin,150.82,-35.01,rockshelter with midden deposits,NSW-76,1520,1000,520,2520,U,0,charcoal
Sydney Basin,150.82,-35.01,rockshelter with midden deposits,SUA-241/2,1600,70,1530,1670,U,0,marine shell
Sydney Basin,150.82,-35.01,rockshelter with midden deposits,SUA-241/3,1660,70,1590,1730,U,0,marine shell
Sydney Basin,150.82,-35.01,rockshelter with midden deposits,SUA-241/1,2040,70,1970,2110,U,0,marine shell
Sydney Basin,150.82,-35.01,rockshelter with midden deposits,SUA-242/2,3670,90,3580,3760,U,0,marine shell
Sydney Basin,150.82,-35.01,rockshelter with midden deposits,SUA-242/1,3700,70,3630,3770,U,0,marine shell
Sydney Basin,150.82,-35.01,rockshelter with midden deposits,ANU-386,3740,100,3640,3840,U,0,charcoal
Sydney Basin,150.82,-35.01,rockshelter with midden deposits,SUA-224,5990,80,5910,6070,Y,0,marine shell
Sydney Basin,151.29,-33.6,midden,Wk-23788,1511,30,1481,1541,Y,0,marine shell (Turbo torquatus operculum)
Sydney Basin,151.36,-33.5,rockshelter with midden deposits,Not given,585,100,485,685,Y,0,marine shell
Sydney Basin,151.36,-33.5,rockshelter with midden deposits,Not given,685,100,585,785,Y,0,marine shell
Sydney Basin,151.36,-33.5,rockshelter with midden deposits,Not given,975,100,875,1075,U,0,charcoal
Sydney Basin,151.36,-33.5,rockshelter with midden deposits,Not given,1425,100,1325,1525,Y,0,marine shell
Sydney Basin,151.36,-33.5,rockshelter with midden deposits,Not given,800,90,710,890,Y,0,charcoal
Sydney Basin,151.36,-33.5,rockshelter with midden deposits,SUA-681,5430,105,5325,5535,Y,0,charcoal
Sydney Basin,150.93,-33.69,hearth,Wk-3606,5900,250,5650,6150,Y,0,charcoal
Sydney Basin,151.03,-33.76,rockshelter,Wk-2962,1560,50,1510,1610,Y,0,charcoal
Sydney Basin,151.03,-33.76,rockshelter,Wk-2701,2170,70,2100,2240,Y,0,charcoal
Sydney Basin,151.03,-33.76,rockshelter,Wk-2961,2230,70,2160,2300,Y,0,charcoal
Sydney Basin,151.03,-33.76,rockshelter,Wk-2513,2510,70,2440,2580,Y,0,charcoal
Sydney Basin,151.03,-33.76,rockshelter,Wk-2690,2590,70,2520,2660,Y,0,charcoal
Sydney Basin,151.03,-33.76,rockshelter,Wk-2963,6740,120,6620,6860,Y,0,charcoal
Sydney Basin,151.03,-33.76,rockshelter,Wk-2511,10150,130,10020,10280,Y,0,charcoal
Sydney Basin,151.12,-33.19,rockshelter,Beta-3623,6210,90,6120,6300,U,0,charcoal
Sydney Basin,151.12,-33.19,rockshelter,SUA-935,4330,95,4235,4425,U,0,charcoal
Sydney Basin,151.06,-33.76,rockshelter,Beta-76605,1340,50,1290,1390,Y,0,charcoal
Sydney Basin,151.06,-33.76,rockshelter,Beta-76606,1410,50,1360,1460,Y,0,charcoal
Sydney Basin,151.21,-34.04,open site,Beta-36920,12190,110,12080,12300,U,0,charcoal
Sydney Basin,151.11,-33.14,rockshelter,GX-0069,144,125,19,269,Y,0,charcoal
Sydney Basin,151.11,-33.14,rockshelter,GX-0070,581,120,461,701,Y,0,charcoal
Sydney Basin,151.19,-33.15,rockshelter,SUA-2166,1840,60,1780,1900,U,0,charcoal
Sydney Basin,151.08,-32.63,open site,Beta-54011,830,60,770,890,N,0,charcoal
Sydney Basin,151.08,-32.63,open site,Beta-54012,800,60,740,860,N,0,charcoal
Sydney Basin,149.26,-33.5,rockshelter,ANU-7462,9770,250,9520,10020,U,0,bone
Sydney Basin,149.26,-33.5,rockshelter,ANU-7463,10770,270,10500,11040,U,0,bone
Sydney Basin,149.26,-33.5,rockshelter,ANU-7464,12920,250,12670,13170,U,0,bone
Sydney Basin,150.32,-35.63,rockshelter,GaK-873,480,80,400,560,Y,0,charcoal
Sydney Basin,150.32,-35.63,rockshelter,ANU-13,680,160,520,840,Y,0,charcoal
Sydney Basin,150.86,-33.75,open site,NZA-3112,5957,74,5883,6031,Y,0,charcoal
Sydney Basin,151.15,-33.21,rockshelter,SUA-2173,1810,80,1730,1890,U,0,charcoal
Sydney Basin,151.19,-33.2,rockshelter,Wk-14104,219,35,184,254,Y,0,charcoal
Sydney Basin,151.19,-33.2,rockshelter,Wk-14105,1432,35,1397,1467,Y,0,charcoal
Sydney Basin,151.19,-33.2,rockshelter,Wk-16547,3241,45,3196,3286,Y,0,charcoal
Sydney Basin,151.19,-33.2,rockshelter,Wk-14106,3423,35,3388,3458,Y,0,charcoal
Sydney Basin,151.34,-33.52,burial,Beta-35481,1820,80,1740,1900,Y,0,human bone
Sydney Basin,149.72,-34.78,open site,SUA-2141,330,100,230,430,Y,0,charcoal
Sydney Basin,151.16,-32.51,open site,Beta-39208,600,60,540,660,Y,0,charcoal
Sydney Basin,151.16,-32.51,open site,Beta-39210,660,50,610,710,Y,0,charcoal
Sydney Basin,151.16,-32.51,open site,Beta-39209,970,50,920,1020,Y,0,charcoal
Sydney Basin,151.16,-32.51,open site,Beta-29213,1020,70,950,1090,Y,0,charcoal
Sydney Basin,151.16,-32.51,open site,Beta-29211,2370,60,2310,2430,Y,0,charcoal
Sydney Basin,151.16,-32.51,open site,Beta-39214,1890,50,1840,1940,Y,0,charcoal
Sydney Basin,151.16,-32.51,open site,Beta-44524,200,60,140,260,Y,0,charcoal
Sydney Basin,151.16,-32.51,open site,Beta-39203,260,60,200,320,Y,0,charcoal
Sydney Basin,151.16,-32.51,open site,Beta-39206,270,60,210,330,Y,0,charcoal
Sydney Basin,151.16,-32.51,open site,Beta-44525,340,60,280,400,Y,0,charcoal
Sydney Basin,151.16,-32.51,open site,Beta-44523,450,80,370,530,Y,0,charcoal
Sydney Basin,151.16,-32.51,open site,Beta-39201,830,50,780,880,Y,0,charcoal
Sydney Basin,151.16,-32.51,open site,Beta-39307,970,50,920,1020,Y,0,charcoal
Sydney Basin,151.16,-32.51,open site,Beta-39205,1200,70,1130,1270,Y,0,charcoal
Sydney Basin,151.16,-32.51,open site,Beta-39200,2210,50,2160,2260,Y,0,charcoal
Sydney Basin,151.16,-32.51,open site,Beta-39204,2460,50,2410,2510,Y,0,charcoal
Sydney Basin,151.16,-32.51,open site,Beta-39202,2750,60,2690,2810,Y,0,charcoal
Sydney Basin,150.4,-35.1,rockshelter,AA-5850,6085,60,6025,6145,Y,0,charcoal
Sydney Basin,150.4,-35.1,rockshelter,ANU-8425,530,70,460,600,N,0,scattered charcoal
Sydney Basin,150.4,-35.1,rockshelter,ANU-8426,1740,60,1680,1800,Y,0,scattered charcoal
Sydney Basin,151.3,-33.59,rockshelter with midden deposits,ANU-6370,220,120,100,340,Y,0,charcoal
Sydney Basin,151.3,-33.59,rockshelter with midden deposits,ANU-6371,480,90,390,570,Y,0,charcoal
Sydney Basin,151.3,-33.59,rockshelter with midden deposits,ANU-6372,560,160,400,720,Y,0,charcoal
Sydney Basin,151.3,-33.59,rockshelter with midden deposits,ANU-6615,3670,150,3520,3820,Y,0,charcoal
Sydney Basin,151.09,-34.05,rockshelter,NSW-6,1220,55,1165,1275,Y,0,charcoal
Sydney Basin,149.85,-35.33,open site ,ANU-4702,4190,90,4100,4280,Y,0,charcoal
Sydney Basin,150.37,-34.45,hearth within open site,SUA-2351,1780,60,1720,1840,Y,0,charcoal
Sydney Basin,150.37,-34.45,hearth within open site,SUA-2352,1780,60,1720,1840,Y,0,charcoal
Sydney Basin,151.02,-33.97,rockshelter,SUA-59,870,95,775,965,Y,0,charcoal
Sydney Basin,151.02,-33.97,rockshelter,SUA-60,5240,100,5140,5340,Y,0,charcoal
Sydney Basin,150.84,-34.49,midden,SUA-109/1,1440,95,1345,1535,U,0,carbonised wood
Sydney Basin,150.84,-34.49,midden,SUA-109/2,2735,100,2635,2835,U,0,carbonised wood
Sydney Basin,150.84,-34.49,midden,SUA-66/1,2920,90,2830,3010,U,0,Anadara sp
Sydney Basin,150.84,-34.49,midden,SUA-66/3,3240,85,3155,3325,U,0,Anadara sp
Sydney Basin,150.84,-34.49,midden,SUA-66/2,3480,90,3390,3570,U,0,Anadara sp
Sydney Basin,150.84,-34.49,midden,SUA-180,3495,85,3410,3580,U,0,Anadara sp
Sydney Basin,150.84,-34.49,midden,SUA-66/4,3675,85,3590,3760,U,0,Anadara sp
Sydney Basin,150.84,-34.49,midden,SUA-65/2,5230,85,5145,5315,U,0,marine
Sydney Basin,150.84,-34.49,midden,SUA-65/3,5570,85,5485,5655,U,0,marine
Sydney Basin,150.84,-34.49,midden,SUA-65/1,5650,85,5565,5735,U,0,marine
Sydney Basin,150.46,-33.71,rockshelter,SUA-16,7280,230,7050,7510,Y,0,charcoal
Sydney Basin,151.27,-33.85,rockshelter,Wk-2510,1630,60,1570,1690,Y,0,marine shell (Nerita shell)
Sydney Basin,150.65,-33.76,open site,SUA-1232,1590,130,1460,1720,Y,0,scattered charcoal
Sydney Basin,150.65,-33.76,hearth,SUA-1231,3980,140,3840,4120,Y,0,charcoal
Sydney Basin,150.65,-33.76,open site,SUA-1233,7010,110,6900,7120,Y,0,charcoal
Sydney Basin,150.65,-33.76,rockshelter,Wk-2085,5640,80,5560,5720,U,0,charcoal
Sydney Basin,151.13,-33.16,rockshelter,SUA-2172,6700,150,6550,6850,U,0,charcoal
Sydney Basin,151.14,-33.16,rockshelter,Wk-14102,2942,35,2907,2977,Y,0,charcoal
Sydney Basin,151.14,-33.16,rockshelter,Wk-14103,6720,49,6671,6769,Y,0,charcoal
